daily,average,day
6900719,6863082,1
7044726,6885357,2
7212522,6909880,3
7346875,6934342,4
7370956,6959606,5
7394765,6982064,6
7394765,7000818,7
7396152,7016264,8
7431702,7031901,9
7510045,7048085,10
7659181,7066598,11
7761902,7086558,12
7897039,7109622,13
8040238,7135811,14
8040238,7162537,15
8207981,7194856,16
8331562,7232957,17
8402574,7273426,18
8391812,7317272,19
8270378,7360866,20
8065964,7402026,21
8065964,7446668,22
7840470,7486389,23
7648915,7519724,24
7494832,7549476,25
7249768,7572088,26
7098196,7587081,27
7098196,7602074,28
6934048,7608312,29
6793437,7609864,30
6658459,7601788,31
6548789,7585257,32
6548789,7563133,33
6535145,7536075,34
6593565,7510162,35
6658059,7485605,36
6759867,7464442,37
6863109,7446674,38
6946531,7430501,39
7004619,7413654,40
7087677,7394604,41
7087677,7372129,42
7165190,7347734,43
7165190,7318566,44
7245669,7292081,45
7305115,7261985,46
7395774,7230792,47
7395774,7197232,48
7436719,7165396,49
7499674,7139706,50
7472383,7119920,51
7472383,7100133,52
7341325,7083495,53
7240483,7069881,54
7113703,7057177,55
7071656,7051240,56
7045581,7049486,57
7000962,7046245,58
7000962,7048475,59
7028847,7056322,60
7096287,7070916,61
7144191,7090763,62
7144191,7110610,63
7218272,7133381,64
7313155,7157367,65
7357764,7180691,66
7404142,7202166,67
7404142,7220201,68
7407726,7235574,69
7407726,7249011,70
7366508,7258305,71
7358459,7267331,72
7358459,7273774,73
7341327,7279645,74
7421800,7285516,75
7509372,7292324,76
7556274,7297674,77
7662056,7306550,78
7754630,7317148,79
7796235,7327033,80
7796235,7337828,81
7831455,7349797,82
7816354,7365631,83
7816354,7384827,84
7824310,7408514,85
7706064,7429661,86
7685054,7450977,87
7697933,7474209,88
7697933,7497441,89
7803461,7523262,90
7949232,7551693,91
8020847,7580915,92
8030946,7610474,93
8030946,7637563,94
7957707,7659048,95
7802709,7673879,96
7802709,7687165,97
7631894,7694757,98
7548863,7699461,99
7591786,7705597,100
7773580,7719166,101
7999365,7740529,102
8218091,7769184,103
8445081,7805975,104
8640659,7846604,105
8801327,7889669,106
8919440,7935108,107
8980797,7979066,108
9027025,8021479,109
8982076,8061007,110
8944004,8099266,111
8938037,8136152,112
8878365,8171553,113
8818010,8204941,114
8818010,8238065,115
8679115,8270500,116
8490179,8297337,117
8225439,8314921,118
8016598,8325543,119
7839127,8326732,120
7669342,8317402,121
7669342,8305685,122
7546346,8289532,123
7506156,8272039,124
7521590,8257502,125
7521590,8248131,126
7499357,8238019,127
7543023,8235057,128
7569092,8235731,129
7618657,8236627,130
7705155,8234346,131
7763788,8226493,132
7763788,8211350,133
7806653,8190069,134
7897179,8165286,135
7967333,8137487,136
8048618,8108459,137
8225152,8083271,138
8394403,8062184,139
8578129,8048719,140
8536315,8035129,141
8575204,8023035,142
8584506,8013239,143
8632822,8007066,144
8688502,8002750,145
8760205,8005453,146
8906499,8019330,147
9036032,8046350,148
9159290,8084439,149
9296742,8133027,150
9396951,8190613,151
9444086,8249772,152
9350010,8309894,153
9424183,8373828,154
9442727,8437866,155
9460314,8502490,156
9495271,8569020,157
9526211,8635127,158
9526196,8700364,159
9474688,8762231,160
9490449,8821741,161
9448552,8877900,162
9405350,8932619,163
9390441,8985412,164
9320889,9032869,165
9284474,9076773,166
9177177,9114392,167
9034659,9141375,168
8865703,9157085,169
8726374,9162027,170
8579942,9163481,171
8462323,9159718,172
8312351,9150647,173
8124685,9133709,174
8124685,9114915,175
7927426,9087156,176
7749112,9048576,177
7632682,9001798,178
7587203,8949395,179
7568965,8891802,180
