daily,average,day
2871436,2848231,1
2871436,2849250,2
2866811,2848813,3
2866811,2847304,4
2854719,2843876,5
2854719,2840203,6
2858789,2836198,7
2858789,2831490,8
2871505,2828636,9
2871505,2825943,10
2908219,2824632,11
2908219,2824731,12
2938745,2825848,13
2953733,2828800,14
2952815,2831721,15
2936248,2835485,16
2872095,2837110,17
2837621,2838927,18
2837621,2841839,19
2810704,2844318,20
2785484,2845957,21
2785484,2847852,22
2774745,2849098,23
2797725,2850287,24
2797725,2851475,25
2820354,2852869,26
2823362,2854364,27
2851779,2855961,28
2861342,2857877,29
2861342,2858729,30
2873752,2858806,31
2912496,2860175,32
2912496,2861698,33
2940633,2864158,34
2958331,2867612,35
2990065,2872124,36
2984148,2876302,37
3008589,2881296,38
3008589,2885865,39
3048123,2891752,40
3048123,2896416,41
3084580,2902294,42
3084580,2907156,43
3095671,2911887,44
3095671,2916649,45
3098026,2922041,46
3092269,2929381,47
3050133,2936464,48
3050133,2943548,49
3011411,2950238,50
3011411,2957769,51
2978453,2964201,52
2978453,2970992,53
2975110,2976905,54
2971280,2982690,55
2971280,2987721,56
2958893,2992238,57
2987940,2996777,58
2987940,3000997,59
2992255,3005361,60
2992255,3009311,61
3014249,3012703,62
3043881,3017082,63
3053735,3020852,64
3053735,3024032,65
3065346,3026542,66
3065346,3029248,67
3070003,3031295,68
3088910,3033973,69
3088910,3035332,70
3116012,3037595,71
3116012,3038643,72
3141570,3040543,73
3167455,3042935,74
3198524,3046364,75
3198524,3049714,76
3242187,3054711,77
3242187,3061113,78
3184217,3065582,79
3136097,3069739,80
3136097,3073895,81
3102346,3078024,82
3102346,3082154,83
3058152,3084922,84
3039391,3087193,85
3039391,3089463,86
3027110,3091737,87
3037728,3093397,88
3021554,3094517,89
2994537,3094593,90
2994537,3094669,91
2979683,3093517,92
2934358,3089866,93
2934358,3085887,94
2898023,3080697,95
2895378,3075031,96
2895378,3069365,97
2907944,3063963,98
2941388,3059046,99
2971242,3055124,100
3007372,3051502,101
3009639,3047957,102
3027111,3044141,103
3022695,3039316,104
3036380,3033911,105
3056497,3029177,106
3031313,3022148,107
3031313,3015119,108
3030293,3009988,109
3020428,3006132,110
3013053,3002031,111
3013053,2999054,112
3000429,2995657,113
3000429,2993733,114
2976401,2991633,115
2949669,2988643,116
2938400,2985686,117
2932279,2982171,118
2932279,2979195,119
2916686,2976600,120
2906986,2973681,121
2900008,2971026,122
2900008,2969881,123
2907429,2968983,124
2909654,2969371,125
2909111,2969828,126
2932771,2971075,127
2971312,2973187,128
2987519,2974725,129
2987519,2975267,130
2991224,2974729,131
3022357,2975153,132
3022357,2974995,133
3026534,2975123,134
3029703,2974900,135
3029703,2974007,136
3039790,2974289,137
3059590,2975232,138
3070869,2976585,139
3078149,2978509,140
3098670,2981362,141
3098670,2984216,142
3111626,2987923,143
3132009,2992309,144
3153530,2998213,145
3169670,3005547,146
3199206,3014240,147
3224210,3023971,148
3267723,3035153,149
3267723,3046854,150
3276896,3059184,151
3271019,3071551,152
3289134,3084522,153
3299310,3097585,154
3331780,3111656,155
3348547,3126304,156
3355833,3140406,157
3362364,3153441,158
3353334,3165634,159
3315301,3176561,160
3276159,3186058,161
3196558,3191865,162
3171265,3196829,163
3095934,3199142,164
3031778,3199211,165
2959848,3196883,166
2913846,3192685,167
2879761,3186690,168
2845918,3179192,169
2824901,3170750,170
2777707,3160052,171
2777707,3149353,172
2720023,3136299,173
2715530,3122417,174
2708309,3107576,175
2718119,3092524,176
2719313,3076528,177
2716307,3059598,178
2681682,3040063,179
2670197,3020146,180
