daily,average,day
5055888,5045672,1
5055888,5058627,2
5052573,5071472,3
5052573,5084317,4
5052573,5097162,5
5052573,5102902,6
5095525,5110075,7
5095525,5117247,8
5095525,5117213,9
5095525,5117179,10
5340098,5125298,11
5340098,5133416,12
5340098,5137887,13
5452471,5146103,14
5452471,5154320,15
5452471,5162536,16
5343951,5167228,17
5343951,5171919,18
5343951,5176611,19
5275994,5179037,20
5275994,5183906,21
5275994,5188774,22
5275994,5193643,23
5256815,5197872,24
5256815,5203517,25
5256815,5209162,26
5256815,5214807,27
5256815,5220451,28
5225099,5226092,29
5225099,5231732,30
5225099,5237372,31
5225099,5243013,32
5179452,5247242,33
5179452,5251471,34
5179452,5255701,35
5179452,5259930,36
5139486,5261395,37
5139486,5262861,38
5139486,5264326,39
5139486,5265791,40
5249099,5262758,41
5249099,5259725,42
5249099,5256692,43
5249099,5249913,44
5212665,5241919,45
5212665,5233925,46
5212665,5229549,47
5212665,5225173,48
5161077,5219077,49
5161077,5215247,50
5161077,5211416,51
5161077,5207586,52
5161077,5203755,53
5307729,5205452,54
5307729,5207149,55
5307729,5208846,56
5307729,5210544,57
5307729,5212241,58
5300856,5214766,59
5300856,5217291,60
5300856,5219816,61
5300856,5222342,62
5300856,5226388,63
5329975,5231406,64
5329975,5236423,65
5329975,5241441,66
5329975,5247790,67
5537839,5261069,68
5537839,5274347,69
5537839,5287626,70
5537839,5297250,71
5537839,5306875,72
5744297,5323382,73
5744297,5339888,74
5744297,5357609,75
5744297,5375330,76
5797683,5394831,77
5797683,5414331,78
5797683,5435552,79
5797683,5456772,80
5597467,5471318,81
5597467,5485865,82
5597467,5500411,83
5492045,5506555,84
5492045,5512699,85
5492045,5518842,86
5492045,5524986,87
5354615,5526549,88
5354615,5528341,89
5354615,5530133,90
5253668,5528560,91
5253668,5526987,92
5253668,5525414,93
5253668,5522871,94
5112086,5515608,95
5112086,5508345,96
5112086,5501082,97
5004997,5483320,98
5004997,5465559,99
5004997,5447798,100
4979039,5429171,101
4979039,5410544,102
4979039,5385036,103
5000786,5360252,104
5000786,5335468,105
5000786,5310685,106
5000786,5284121,107
5119086,5261502,108
5119086,5238882,109
5119086,5216262,110
4992412,5196093,111
4992412,5175925,112
4992412,5155756,113
4992412,5139102,114
4921840,5120095,115
4921840,5101088,116
4921840,5082081,117
4870469,5065943,118
4870469,5049805,119
4870469,5033667,120
4870469,5020893,121
4939463,5010420,122
4939463,4999946,123
4939463,4989473,124
4939463,4983719,125
4952683,4978405,126
4952683,4973092,127
4952683,4971348,128
5127040,4975416,129
5127040,4979484,130
5127040,4984418,131
5127040,4989351,132
5348937,5001681,133
5348937,5013286,134
5348937,5024891,135
5348937,5036496,136
5257361,5045049,137
5257361,5049658,138
5257361,5054267,139
5201858,5057026,140
5201858,5064008,141
5201858,5070989,142
5201858,5077971,143
5246753,5086449,144
5246753,5097279,145
5246753,5108109,146
5314249,5121190,147
5314249,5135982,148
5314249,5150775,149
5314249,5165568,150
5369077,5182188,151
5369077,5196509,152
5369077,5210829,153
5369077,5225149,154
5248107,5235438,155
5248107,5245285,156
5248107,5255133,157
5208849,5263671,158
5208849,5266398,159
5208849,5269125,160
5154583,5270043,161
5154583,5270962,162
5154583,5264483,163
4960222,5251526,164
4960222,5238569,165
4960222,5225612,166
4816902,5210930,167
4816902,5196248,168
4816902,5181566,169
4702195,5164910,170
4702195,5148255,171
4702195,5131599,172
4667428,5113785,173
4667428,5094474,174
4667428,5075163,175
4667428,5055853,176
4619207,5032684,177
4619207,5009516,178
4619207,4986348,179
4629866,4963536,180
